Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
67,80,147Ho,2687.1 (4),(27/2),315(30) ns,32.3,
68,79,147Er,0+X,(11/2,1.6(2) s,,
57,91,148La,56.034 (25),(1+),67(4) ns,56.08(4),E1
59,89,148Pr,76.80 (20),4−,2.01(7) min,76.8(2),M3
61,87,148Pm,137.9 (3),56,41.29(11) d,62.2(5),E4
62,86,148Sm,6694.32 (21),21(),32(3) ns,"101.5(1)
217.3(1)
302.0(2)",
63,85,148Eu,720.4 (3),9+,162(8) ns,"12.0(4)?
201.9(3)",M2
64,84,148Gd,2694.67 (13),9,16.6(3) ns,"130.8(3)
883.6(3)","E2
E3"
65,83,148Tb,90.1 (3),(9)+,2.20(5) min,,
65,83,148Tb,109.6 (2),4,80(4) ns,109.6(2),E2
65,83,148Tb,1095.8,(11),22(1) ns,"690.2
1006.2",E3+M2
65,83,148Tb,8618.6 (10),(27+),1.310(7) μs,"280.6
784.8
857.7",
66,82,148Dy,2832.2 (10),8+,65(10) ns,"94.1(2)
101.2(6)","E1
E2"
66,82,148Dy,2919.1,10+,471(20) ns,86.9,E2
67,81,148Ho,0+X,(5),9.59(15) s,,
67,81,148Ho,694.4+X,(10)+,2.36(6) ms,373.1(1),E3
68,80,148Er,2913.2 (4),(10+),13(3) μs,131.2(2),E2
59,90,149Pr,58.5 (3),"(7/2,
11/2)",22.9(18) ns,58.5,E1
61,88,149Pm,240.214 (7),11/2,35(3) μs,240.220(7),M2
63,86,149Eu,496.386 (2),11/2,2.45(5) μs,"346.651(3)
496.383(2)","M2+E3
E3"
65,84,149Tb,35.78 (13),11/2,4.16(4) min,,
66,83,149Dy,1073.24 (9),(13/2+),12.5(15 ) ns,1073.2(1),E3
66,83,149Dy,2661.1 (4),(27/2),"0.490(15) s
11(1) s @",110.7(3),E3
66,83,149Dy,8520.5 (12),(49/2+),28(2) ns,"249?
475?",
67,82,149Ho,48.8 (2),(1/2+),56(3) s,,
67,82,149Ho,2738 (2),(27/2),59(4) ns,144,(E2)
67,82,149Ho,7.20E+3? (35),,≥ 100 ns,,
68,81,149Er,741.8 (2),(11/2),8.9(2) s,630.5(2),M4
68,81,149Er,2611.1 (3),(19/2+),0.61(8) μs,"68.9(1)
132.3(1)","E2
E2"
68,81,149Er,3242.7+X,(27/2),4.8(1) μs,55.1(3),E2
63,87,150Eu,41.7 (10),0,12.8(1) h,~1?,
63,87,150Eu,588.81 (7),8+,45(3) ns,"26.8(1)?
171.50(9)",(E2)
65,85,150Tb,461 (27),9+,5.8(2) min,,
67,83,150Ho,X,(9)+,23.5(3) s,,
67,83,150Ho,1096.03+X,(11),18(2) ns,"879.4(2)
1096.0(1)",
67,83,150Ho,2625.44+X,(17+),84(8) ns,98.2(1),(E2)
67,83,150Ho,7912.1+X,(28),787(36) ns,776(1),
68,82,150Er,2733.3 (4),8+,~ 20 ns,"100.52(9)
112.6(3)",E1
68,82,150Er,2796.5 (5),10+,2.55(10) μs,63.2(3),E2
68,82,150Er,7371.9 (6),,15(4) ns,"39.4(4)
219.0(2)
1013.1(3)",E1
68,82,150Er,9508.6 (7),,43(3) ns,360.1(2),
69,81,150Tm,671.3 (10),(10+),5.2(3) ms,331.2,(E3)
71,79,150Lu,22 (6),"(1
2)",39(+86) μs,,
58,93,151Ce,0+X,,1.02(6) s,,
59,92,151Pr,35.10 (10),"(1/2+,
3/2+,
7/2+)",50(8) μs,35.1(1),E1
59,92,151Pr,96.0+X,,20(8) ns,96,
62,89,151Sm,4.821 (3),3/2,35(1) ns,4.821(3),M1+E2
62,89,151Sm,91.532 (9),(9/2)+,78(1) ns,25.71(1),E1
62,89,151Sm,261.13 (4),(11/2),1.4(1) μs,"85.7(1)
113.21(5)
169.57(7)
195.26(5)",
63,88,151Eu,196.245 (10),11/2,58.9(5) μs,"174.70(1)
196",M2
65,86,151Tb,99.53 (5),(11/2),25(3) s,27.1(1),E3
66,85,151Dy,6032.2 (8),(49/2+),11.9(8) ns,25,E2
68,83,151Er,1140.35 (14),(13/2+),10(3) ns,"338.5(2)
1140.2(2)","(M2)
E3"
68,83,151Er,2586.0 (5),(27/2),"0.58(2) s
19(3) s @",57.7,E3
68,83,151Er,10286.6 (10),(67/2),0.42(5) μs,894.6,(E3)
69,82,151Tm,0+X,(1/2+),6.6(20) s,,
69,82,151Tm,2655.67 (22),(27/2),0.451(34) μs,140.4(1),E2
69,82,151Tm,6908.5 (4),,24(4) ns,1050.2(2),
70,81,151Yb,0+X,,1.6(1) s,,
70,81,151Yb,1791.2+Y,,2.6(7) μs,"57.1(2)
259.4(3)",
70,81,151Yb,2448+Z,,20(1) μs,57(2),
71,80,151Lu,53 (6),3/2+,16.5(10) μs,,
61,91,152Pm,1.5E+2 (9),4,7.52(8) min,,
61,91,152Pm,150+X,(8),13.8(2) min,,
63,89,152Eu,45.5998 (4),0,9.3116(13) h,,
63,89,152Eu,65.2969 (4),1,0.94(8) μs,"19.695(7)
65.2965(5)","M1
E2"
63,89,152Eu,77.2593 (4),3,38(4) ns,77.2583(6),M1+E2
63,89,152Eu,78.2331 (4),1+,165(10) ns,"12.965(15)
32.6341(3)",E1
63,89,152Eu,89.8496 (4),4+,384(10) ns,"12.598(15)
89.8492(7)",E1
63,89,152Eu,147.86 (10),8,95.8(4) min,39.75(10),E3
65,87,152Tb,342.15 (16),5,0.96 μs,"58.9(2)
65.0(3)
106.6(3)",M1
65,87,152Tb,501.74 (19),8+,4.2(1) min,159.59(10),E3
66,86,152Dy,5088.1 (3),17+,60(4) ns,53.3(2),E2
67,85,152Ho,160 (1),9+,49.8(2) s,,
67,85,152Ho,3019.59 (19),19,8.4(3) μs,734.1(1),E3
67,85,152Ho,5997.9 (3),28,47(7) ns,105.5(1),E2
68,84,152Er,9711.8 (5),28+,35(4) ns,"848.3(3)
1021.0(7)
1051.9(6)
1184.1(6)",M2+E3
68,84,152Er,13386.9 (9),,11(1) ns,"357.9
1265.5(6)",
69,83,152Tm,0+X,(9)+,5.2(6) s,,
69,83,152Tm,2555.05+X,(17+),294(12) ns,103.5(1),(E2)
69,83,152Tm,~ 6300,,42(5) ns,,
70,82,152Yb,2744.5 (10),(10+),30(1) μs,54.6(10),(E2)
60,93,153Nd,191.71 (16),(5/2+),1.10(5) μs,"71.5(2)
141.8(2)
191.7(2)","(E1)
E1
E1"
62,91,153Sm,98.37 (10),11/2,10.6(3) ms,32.9(1),
62,91,153Sm,182.902 (4),5/2,17(7) ns,"55.61(1)
92.03(1)
129.36(1)
147.06(1)
175.370(11)
182.900(8)","E1
M1,E2
E1
E1"
63,90,153Eu,1771.0 (4),19/2,475(10) ns,"477.0(4)
709.4(4)
919.4(4)",E1
64,89,153Gd,95.1736 (8),9/2+,3.5(4) μs,"1.8307(14)?
53.60(2)?",M2
64,89,153Gd,171.188 (4),(11/2),76.0(14) μs,"2.8?
76.015(4)
77.9",
65,88,153Tb,163.175 (5),11/2,186(4) μs,82.464(4),M2
67,86,153Ho,68.7 (3),1/2+,9.3(5) min,,
67,86,153Ho,2772 (10),(31/2+),229(2) ns,"36
475","E2
M2"
68,85,153Er,2798.2 (10),(27/2),373(9) ns,46.4?,
68,85,153Er,2992.7,(29/2+),~ 10 ns,"83.9
194.5",E1
68,85,153Er,3939.5,(33/2+),~ 10 ns,"287.8
946.7",
68,85,153Er,5248.1 (10),(41/2),248(32) ns,"356.3
403.7
428.7",
69,85,153Tm,43.2 (2),(1/2+),2.5(2) s,,
70,83,153Yb,2578.2+X,27/2,15(1) μs,,
71,82,153Lu,2502.5 (4),23/2,> 0.1 μs,"21?
291.0(3)
355.4(3)",
71,82,153Lu,2632.9 (5),27/2,15(3) μs,130.4(2),E2
60,94,154Nd,233.2+X,,1.3(5) μs,,
61,93,154Pm,X,(01),1.73(10) min,,
63,91,154Eu,68.1702 (4),2+,2.2(1) μs,68.1711(5),E1
63,91,154Eu,82.8200 (6),1,20(5) ns,"10.905(14)
14.634(17)","(E1)
(E1)"
63,91,154Eu,100.8612 (4),4+,54(3) ns,"0.91?
32.700(4)
100.8592(10)","E2
E1"
63,91,154Eu,145.3 (3),8,46.3(4) min,8.6?,
64,90,154Gd,2137.48 (4),7,68 ns,"225.94(3)
992.92(12)
1419.81(8)","E1
E1(+M2)
E1"
65,89,154Tb,0+X,3,9.994(39) h,,
65,89,154Tb,0+Y,7,22.7(5) h,,
65,89,154Tb,0+Z,,513(42) ns,,
67,87,154Ho,0+X,8+,3.10(14) min,,
68,86,154Er,3025,11,39(4) ns,"9?
11?",
69,85,154Tm,0+X,9+,3.30 (7) s,,
70,84,154Yb,2046.2 (4),(8+),28(2) ns,96.6(2),E2
70,84,154Yb,4479.1,(16+),18.6(15) ns,160.3,E2
71,83,154Lu,59 (9),(9+),1.12(8) s,,
71,83,154Lu,130.4+Y,(17+),35(3) μs,130.4(3),E2
72,82,154Hf,2671+X,(10+),9(4) μs,,
62,93,155Sm,16.547 (2),5/2+,2.8(5) μs,16.547 (10),E1
62,93,155Sm,538.4 (11),11/2,1.00(8) μs,"179.2(2)
287.5(2)
385.6(2)","E1
E1
E1"
64,91,155Gd,121.05 (19),11/2,31.97(27) ms,13.47(19),E1
66,89,155Dy,132.195 (22),9/2+,51(3) ns,45.38(5),E1
66,89,155Dy,234.33 (3),11/2,6(1) μs,"9.1(1)
79.72(5)
102.16(3)
147.63(6)","M1+E2
E1+M2
E1+M2"
67,88,155Ho,141.97 (11),11/2,0.88(8) ms,31.7(1),M2
68,87,155Er,563.22 (19),13/2+,34.8(6) ns,31.5(1),E1
69,86,155Tm,41 (6),1/2+,45(3) s,,
71,84,155Lu,20 (6),1/2+,138(8) ms,,
71,84,155Lu,1781 (2),(25/2),2.69(3) ms,,
60,96,156Nd,1431.3 (4),(5),0.36(15) μs,"970.6(2)
1209.0(2)","E1
E1"
62,94,156Sm,1397.55 (9),5,185(7) ns,"376.75(10)
880.39(10)
1147.84(10)",
63,93,156Eu,87.4897 (3),1,12.0(3) ns,"39.7805(4)
64.9725(4)
87.4897(3)","E1
E1"
64,92,156Gd,2137.60 (5),7,1.3(1) μs,"228.35(4)
383.93(6)",E1
65,91,156Tb,49.630 (10),4+,49(7) ns,49.630(10),E1
65,91,156Tb,49.630+X,(7),24.4(10) h,,
65,91,156Tb,88.4 (2),(0+),5.3(2) h,88.4,E3
67,89,156Ho,52.37 (30),1,9.5(15) s,52.37,M3
67,89,156Ho,170 (70),9+,7.6(3) min,,
67,89,156Ho,117.58,1+,58(3) ns,"26.55(10)
35.37
65.16?","M1+E2
E1
E1"
69,87,156Tm,203.6+X,(11),~ 400 ns,203.6,
71,85,156Lu,0+X,9+,198(2) ms,,
72,84,156Hf,1959 (6),8+,0.52(1) ms,,
73,83,156Ta,102 (7),9+,0.36(4) s,,
64,93,157Gd,63.917 (5),5/2+,0.46(4) μs,"9.365(12)
63.929(8)","E1
E1"
64,93,157Gd,426.60 (5),11/2,18.5(23) μs,"199
246.31(2)",
66,91,157Dy,161.99 (3),9/2+,1.3(2) μs,14.23(5),E1
66,91,157Dy,199.38 (7),11/2,21.6(16) ms,"37.36(8)
51.7(1)","(E1)
(E2)"
67,90,157Ho,53.048 (20),5/2+,20(1) ns,53.05(2),(E1)
68,89,157Er,155.4 (3)?,(9/2+),76(6) ms,155.4(3),E3
70,87,157Yb,529.3,13/2+,45 ns,"34.8?
205.7",
71,86,157Lu,26 (7),(11/2),4.79(12) s,,
72,85,157Hf,2875.4,29/2+,52(12) ns,70.3,E1
73,84,157Ta,22 (5),11/2,4.3(1) ms,,
73,84,157Ta,1589 (10)?,(25/2),1.7(1) ms,,
62,96,158Sm,1279.3 (4),(5),74(6) ns,"781.3(2)
1039.5(2)","E1
E1"
65,93,158Tb,110.3 (12),0,10.70(17) s,110.3(12),M3
65,93,158Tb,388.4 (18),7,0.40(4) ms,"65.76(10)
171.07(10)",E1
67,91,158Ho,X,(9+),21.3(23) min,,
67,91,158Ho,67.199 (10),2,28(2) min,67.200(10),E3
67,91,158Ho,156.9 (1),(5),29(3) ns,156.9(1),
69,89,158Tm,0+X,(5+),~ 20 s,,
69,89,158Tm,0+Y,(9),16(4) ns,,
73,85,158Ta,141 (9),(9+),36.7(15) ms,,
73,85,158Ta,2809 (11),19,6.1(1) μs,1002,
74,84,158W,1888 (8),(8+),0.143(19) ms,,
62,97,159Sm,1276.8 (5),(11/2),115(10) ns,869.7,
64,95,159Gd,67.829 (24),5/2+,26.2(8) ns,"17.1
67.8(1)",E1
66,93,159Dy,352.77 (14),11/2,122(3) μs,"113.3(2)
116.9(2)
218(1)","E1
M1
E2"
67,92,159Ho,205.91 (5),1/2+,8.30(8) s,"40.0(1)
205.92(5)",E3
68,91,159Er,182.602 (24),9/2+,0.337(14) μs,38.32(3),E1
68,91,159Er,429.05 (3),11/2,0.59(6) μs,"170.75(9)
247
284.84(3)","M1
(E2)"
69,90,159Tm,166.17 (5),(7/2),37.5(13) ns,"113.18(6)
166.16(5)",E1
73,86,159Ta,64 (5),11/2,0.56(6) s,,
75,84,159Re,0+X,11/2,20(4) μs,,
62,98,160Sm,1361.3 (4),(5),120(46) ns,"878.0(2)
1128.2(2)",
65,95,160Tb,63.6855 (20),1,60(5) ns,63.6859(20),E2
67,93,160Ho,59.98 (3),2,5.02(5) h,59.98(3),E3
67,93,160Ho,107.27 (2),6+,48(10) ns,107.28(2),M1+E2
67,93,160Ho,118.441 (18),6,56(8) ns,"11.17(3)?
118.44(2)","E1
E1"
67,93,160Ho,197 (16),(9+),3 s,,
69,91,160Tm,70.9 (5),5,74.5(15) s,28.85,
69,91,160Tm,98.2+X,(8),~ 200 ns,98.2,
69,91,160Tm,174.38 (5),1+,17(1) ns,"34.18(10)
132.23(5)
174.40(10)","M1
E1
E1"
71,89,160Lu,0+X,,40(1) s,,
73,87,160Ta,X,,1.7(2) s,,
75,85,160Re,184 (4),(9+),2.8(1) μs,96(1),(E2)
66,95,161Dy,25.65136 (3),5/2,29.1(3) ns,25.65135(3),E1
66,95,161Dy,485.7 (2),11/2,0.76(17) μs,"165.0(1)
217.8(1)
284.3(1)
301.4(1)
382.6(1)
385.3(1)",
67,94,161Ho,211.15 (3),1/2+,6.76(7) s,211.15(3),E3
68,93,161Er,189.42 (3),9/2+,84(10) ns,45.54(3),E1
68,93,161Er,396.44 (4),11/2,7.5(7) μs,"99.76(4)
128.90(7)
146.65(8)
207.12(6)
252.50(10)","E1
E1
M1+E2
E1
E2"
69,92,161Tm,78.20 (3),7/2,110(3) ns,78.20(3),E1
71,90,161Lu,166.5+X,(9/2),7.3(4) ms,30.9?,
72,89,161Hf,329.0 (5),(13/2+),4.8(2) μs,202.2(4),M2
73,88,161Ta,X,(11/2),3.09(11) s,,
66,96,162Dy,2187.9 (10),8+,8.3(3) μs,"146.4(1)
228.6(1)
248.0(1)
300.3(1)
341.8(1)
380.2(1)
435.4(1)
504.3(1)
550.3(1)
1266.5(2)
1639.2(2)","M1
E1
E1
M1
E1
E1
E2
E1
E1
M1
E2"
67,95,162Ho,105.87 (6),6,67.0(7) min,9.80(5),E3
68,94,162Er,2026.7 (6),7(),88(16) ns,"930.1(4)
1359.6(2)",
69,93,162Tm,X,5+,24.3(17) s,,
71,91,162Lu,X,(4),1.5 min,,
71,91,162Lu,Y,,1.9 min,,
75,87,162Re,173 (13),(9+),77(9) ms,,
67,96,163Ho,297.88 (7),1/2+,1.09(3) s,297.88(10),E3
67,96,163Ho,1506.4 (4),(17/2+),41(11) ns,"581.1(1)
973.8(1)",
67,96,163Ho,2109.4 (4),(23/2+),0.80(15) μs,"183.3(1)
340.2(1)",
68,95,163Er,445.5 (6),(11/2),0.58(10) μs,"125.8
198.5?
246.2
255.8
325.1",(M1)
69,94,163Tm,86.92 (5),(7/2),0.38(3) μs,63.62(3),E1
69,94,163Tm,164.69 (11),(9/2+),~ 43 ns,141.4(1),"(M1, E2)"
69,94,163Tm,290.30 (13),(11/2),~ 43 ns,"115.7(2)
203.4(2)",
70,93,163Yb,58.1,"(3/2
5/2,",> 10 ns,"4.2
58",
70,93,163Yb,99.2 (2),(5/2+),~ 10 ns,"41
45.3",
70,93,163Yb,124.0 (3),(9/2+),~ 10 ns,24.7?,
74,89,163W,480.3 (7),13/2+,154(3) ns,"38.4(7)
378.3(6)","E1
M2"
75,88,163Re,115 (4),11/2,214(5) ms,,
62,102,164Sm,1485.5 (12),(6),0.60(14) μs,349.4(2)(E1),%IT = 100
67,97,164Ho,139.77 (8),6,37.5(+15−5) min,45.79(6),E3
68,96,164Er,3378.2 (8),12+,68(2) ns,"156.4(1)
427.3(1)
555.0(1)
1294.8(3)
1859.5(6)?","E1
(E1)
(M1)
(E2)"
69,95,164Tm,0+X,6,5.1(1) min,,
69,95,164Tm,124.04+X,(6),36(5) ns,124.04(3),
75,89,164Re,0+Y,(9+),0.86 (+1511) s,,
77,87,164Ir*,0+X,(9+),70(10) μs,,
66,99,165Dy,108.1552 (13),1/2,1.257(6) min,108.160(3),E3
67,98,165Ho,361.675 (11),3/2+,1.512(4) μs,"266.80(15)
361.68(2)",M2+E3
68,97,165Er,551.3 (6),11/2,0.25(3) μs,"314.8
375
383.7
473.7",
68,97,165Er,1823.0 (4),(19/2),0.37(4) μs,"317.0(1)
1050.6(1)
1144.6(1)",
69,96,165Tm,80.37 (6),7/2+,80(3) μs,68.86(5),E2
69,96,165Tm,160.47 (6),7/2,9.0(5) μs,"30.80(10)
80.11(2)","E1
E1+M2"
70,95,165Yb,126.80 (9),9/2+,300(30) ns,39.23(8),E1
75,90,165Re,48 (26),(11/2),1.740(60) s,,
77,88,165Ir,X,(11/2),0.34(4) ms,,
64,102,166Gd,1601.5 (11),(6),950(60) ns,"146.3(2)
183.1(2)","(E1)
(E1)"
67,99,166Ho,5.969 (12),7,1132.6 (39) y,,
67,99,166Ho,190.9021 (20),3+,185(15) μs,"10.43(2)
19.840(6)
136.662(2)","E1
E1"
69,97,166Tm,109.338+X,(6),340(25) ms,34.418(1),E1
69,97,166Tm,231.053+X,(6),36(2) ns,"59.488(2)
121.710(5)","E1
M1"
71,95,166Lu,34.37 (22),3(),1.41(10) min,34.37(22),(M3)
71,95,166Lu,43.0 (4),0,2.12(10) min,,
71,95,166Lu,83.50 (10),"(5,6,
7)+",92(7) ns,83.5(1),E1
77,89,166Ir,172 (6),(9+),15.1(9) ms,,
67,100,167Ho,259.34 (11),3/2+,6.0(10) μs,259.33(13),M2
68,99,167Er,207.801 (5),1/2,2.269(6) s,207.801(5),E3
69,98,167Tm,179.480 (19),(7/2)+,1.16(6) μs,"37.05(2)
62.91(1)
169.04(3)","M1+E2
M1+E2
E2"
69,98,167Tm,292.820 (20),7/2,0.9(1) μs,"6.93(4)?
105.19(2)
113.34(1)
150.40(3)
176.25(2)","M1
E1
E1
E1"
70,97,167Yb,188.754 (18),1/2,~ 23 ns,188.66(4),E2
70,97,167Yb,571.548 (22),(11/2),~ 180 ns,"151.960(17)
160.490(17)
254.0(2)
270.00(9)
385.55(11)
392.61(9)
445.56(12)
513.10(10)","M1(+E2)
(E1)
M1+E2
E1(+M2)
(E1)"
71,96,167Lu,0+X,1/2+,≥ 1 min,,
75,92,167Re,X,(1/2+),5.9(3) s,,
76,91,167Os,435.1 (10),13/2+,672(7) ns,348,M2
77,90,167Ir,175.3 (22),11/2,30.0(6) ms,,
67,101,168Ho,~ 59,(6+),132(4) s,~ 59?,(M3)
67,101,168Ho,143.43 (17),(1),> 4 μs,143.5(2),M2
67,101,168Ho,192.57 (20),1+,108(11) ns,192.5(2),E2
68,100,168Er,1094.0383 (16),4,109.0(7) ns,"99.289(2)
198.241(1)
272.876(2)
829.958(7)
1014.11(4)","E1+M2
E1+M2
M2
E1+M2
M2+E3"
70,98,168Yb,1998.74 (6),(5),82(5) ns,"156.6(2)
179.6(2)
228.6(2)
324.7(2)
348.3(2)
401.1(3)
1413.5(3)
1712.0(5)","M1
(E1)
(M1)
(E1+M2)
E2
M1"
70,98,168Yb,2222.37 (20),(),62(8) ns,"111.4
223.59(19)",
71,97,168Lu,202.81 (12),3+,6.7(4) min,202.81(12)?,
77,91,168Ir,0+Y,,159(+16-13) ms,,
67,102,169Ho,1386.2 (4),(19/2+),118(6) μs,"483.6
685.4
867.3",
68,101,169Er,92.05 (10),(5/2),285(20) ns,"17.46(12)?
27.6(2)",
68,101,169Er,243.69 (17),7/2+,200(10) ns,"67.3(3)
151.5(2)","E1
E1"
69,100,169Tm,316.14633 (11),7/2+,659.9(23) ns,"177.21307(6)
197.95675(7)
307.73586
(10)","M1+E2
M1+E2
E2"
69,100,169Tm,379.26678 (12),7/2,52.2(8) ns,"63.12044(4)
240.331(3)
261.07712(9)
370.854(8)
379.284(18)","E1
E1(+M2)
E1+M2"
70,99,169Yb,24.1999 (16),1/2,46(2) s,24.20(2),E3
71,98,169Lu,29.0 (5),1/2,160(10) s,29.0(5),E3
72,97,169Hf,28.80 (4),(7/2)+,82(+4015) ns,28.80(4),E1
73,96,169Ta,180.1 (3),(5/2+),17(4) ns,"152.6(2)
168.7(2)",
73,96,169Ta,219.72 (19),(9/2),28(5) ns,123.0(2),E1
75,94,169Re,0+X,"(1/2+,
3/2+)",15.1(15) s,,
77,92,169Ir,153 (24),(11/2),0.281(4) s,,
67,103,170Ho,120 (70),(1+),43(2) s,,
68,102,170Er,1268.69 (3),(4),42 ns,"51.30(10)
141.50(9)
165.33(4)
258.136(20)
1008.3(3)","E1

(E1)"
69,101,170Tm,183.197 (4),(3)+,4.12(13) μs,"68.6491(4)
144.4797(5)","E1
E1"
70,100,170Yb,1258.46 (14),4,370(15) ns,981.1(2),E1
71,99,170Lu,92.91 (9),(4),0.67(10) s,48.42(10),M2
72,98,170Hf,2183.8,(8),23(2) ns,216.6(1),(E1)
77,93,170Ir,0+X,(8+),811(18) ms,,
79,91,170Au,275 (14),(9+),0.617(+5040) ms,,
68,103,171Er,198.6 (1),1/2,210(10) ns,198.6(1),E2
69,102,171Tm,424.9560 (15),7/2,2.60(2) μs,"295.9010(12)
308.2996(16)
419.9(3)
424.9(5)","E1
E1
M2
E3"
69,102,171Tm,1674.5 (3),19/2+,1.7(2) μs,"219.2(1)
428.0(1)
558.1(3)",E2
70,101,171Yb,95.282 (2),7/2+,5.25(24) ms,19.394(2),E1
70,101,171Yb,122.416 (2),5/2,265(20) ns,"27.133(1)
46.543(5)
55.689(2)
122.37(5)","E1
M1+E2
M1+E2"
71,100,171Lu,71.13 (8),1/2,79(2) s,71.10(9),E3
71,100,171Lu,208.15 (9),(1/2)+,29.7(11) ns,137.01(3),E1
72,99,171Hf,21.93 (9),1/2,29.5(9) s,21.93(9)?,
72,99,171Hf,49.57 (8),5/2,64(4) ns,49.6(1),(E1)
72,99,171Hf,1984.8 (5),23/2,18(2) ns,190.6(2),E1
73,98,171Ta,236.29 (25),(9/2),46(3) ns,"53.1(3)
184.2(2)
236.3(3)","E1
E1"
77,94,171Ir,0+X,(11/2),1.40(10) s,,
78,93,171Pt,412.6 (10),(13/2+),901(9) ns,323.1(6),M2
79,92,171Au,250 (16),(11/2),1.014(19) ms,,
68,104,172Er,1263.5 (3),(4),39.5(21) ns,"229.1(2)
1008.3(2)",
68,104,172Er,1500.9 (3),(6+),0.57(6) μs,"133.6(2)
249.6(2)
369.7(2)
970.5(2)",E1
69,103,172Tm,476.2 (2),6+,132(7) μs,"34.6(3)
101.8(1)
226.3(2)","E1
E1
E1"
70,102,172Yb,1550.43 (6),6,3.6(1) μs,"174.7(10)
197.6(3)
1010.45(6)","(E1)
E1+M2"
71,101,172Lu,41.86 (4),1,3.7(5) min,41.86(4),M3
71,101,172Lu,65.79 (4),(1)+,0.332(20) μs,23.9331(2),E1
71,101,172Lu,109.41 (10),(1)+,440(12) μs,67.35(10),E1
71,101,172Lu,213.57 (17),(6),150 ns,"102.5(2)
213.5(2)",
72,100,172Hf,2005.84 (11),(8),163(3) ns,"127.67(10)
149.4
278.2
321.0
408.4",(E1)
75,97,172Re†,"0+X
0+Y","(5)
(2)","15(3) s
55(5) s",,
77,95,172Ir,139 (10),(7+),2.0(1) s,,
79,93,172Au,0+X,,7.7(14) ms,,
69,104,173Tm,317.73 (20),7/2,10.4(21) μs,"192.8(2)
199.2(2)
315.2","(E1)
(E1)"
69,104,173Tm,1905.7 (4),19/2,250(69) ns,"43.4(6)
124(1)
154.3(2)
214.3(4)","M1
E2
E1
E2"
69,104,173Tm,2061.1 (4),21/2+,15.2(55) ns,155.4(1),E1
69,104,173Tm,4047.9 (5),35/2,121(28) ns,"412(1)
655(1)
703.5(1)","M1
E1
E2"
70,103,173Yb,398.9 (5),1/2,2.9(1) μs,398.9(6),E2
71,102,173Lu,123.672 (13),5/2,74.2(10) μs,123.672(13),E1
72,101,173Hf,107.16 (5),5/2,180(8) ns,"25.70(5)
37.40(5)
107.2(2)","M1
M1+E2
(E2)"
72,101,173Hf,197.47 (10),7/2+,160(40) ns,90.3(1),E1
72,101,173Hf,1982.1 (5),(23/2),19.5(6) ns,164.8(3),E1
73,100,173Ta,173.10 (21),9/2,225(15) ns,"35.4(10)
63.00(10)
166.00(10)","E1+M2
(M2)"
73,100,173Ta,198.16 (20),3/2(+),13.5(58) ns,"174.21(10)
196.61(10)",
73,100,173Ta,1719.4 (10),21/2,132(3) ns,"355.8
608.6
840",E2
74,99,173W,85.37 (10),(7/2)+,14(4) ns,85.37(10),E1
74,99,173W,148.0 (5),1/2,1.31(15) μs,148.0 (5),
76,97,173Os,141.2 (2),(9/2+),> 28 ns,49.6(2),E1
77,96,173Ir,226 (18),(11/2),2.20(5) s,,
79,94,173Au,214 (23),(11/2),12.2(1) ms,,
68,106,174Er,0+X?,,37.5(375) ns,,
68,106,174Er,1111.5,8,4.02(35) s,"162.9
551?",E1
69,105,174Tm,191.50 (19),(4+),15.2(21) ns,"91.2(6)
191.5(2)","E1
E1"
69,105,174Tm,252.4 (5),0+,2.29(1) s,152.1,E3
69,105,174Tm,496.7 (3),(7+),10.4(14) ns,90.5(5),M1
69,105,174Tm,2091.7 (3),14,106.1(69) μs,"37(1)
39(1)?
145(1)
168.1(3)
298.3(2)
397.7(3)
401.3(2)
440.0(5)
637.1(4)","E1
E2
M1
M2
M2
M1
M1
E3
E2"
70,104,174Yb,1518.148 (13),6+,830(40) μs,"628.37(4)
992.128(13)
1265.18(10)",(M1+E2)
70,104,174Yb,1765.2 (5),7,256(11) ns,"193
247.1
875.5
1239.2","E2
E1
E1+M2
E1+M2"
70,104,174Yb,3698.8 (6),14+,55(4) ns,"409.6
695.6
785.5
964.1","M1+E2
M1+E2
E1
E2"
70,104,174Yb,6146.6 (9),"(22,23)",28.4(14) ns,"172.5?
417.3?",
71,103,174Lu,170.83 (5),6,142(2) d,"59.08(2)
126.2",M3
71,103,174Lu,240.818 (4),(3+),395(15) ns,"129.065(2)
196.112(10)","(E1)
(E1)"
71,103,174Lu,365.183 (6),(4),145(3) ns,"105.654(9)
124.360(8)
164.885(10)
253.435(10)","(E1)
(E1)
(M1,E2)
(M1,E2)"
71,103,174Lu,1855.7 (5),13+,194(24) ns,"267.4(3)
373.3(3)
427.1(3)
484.8(3)
608.1(3)
821.6(3)","M1
M1
E2
E1
M1
E2"
71,103,174Lu,2062.5 (6),14,38(4) ns,206.8(3),E1
71,103,174Lu,4068.6 (8),(21+),97(10) ns,328.1(3),E2
71,103,174Lu,5849.6 (9),(26),242(19) ns,"299.2(3)
432.7(3)","E1
E2"
72,102,174Hf,1549.3 (18),(6+),138(4) ns,"100.10(22)
154.71(13)
241.97(19)
486.61(25)
539.67(25)
941.02(5)
1251.81(7)",
72,102,174Hf,1797.5 (18),(8),2.39(4) μs,"60.18(13)
248.3(5)
788.0(12)",
