Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
33,38,71As,1000.31 (13),9/2+,19.8(3) ns,1000.26(14),(M2)
34,37,71Se,48.79 (5),1/2,5.6(7) μs,48.78(5),E2
34,37,71Se,260.48 (10),9/2+,19.0(5) μs,260.5(1),
35,36,71Br,759.06 (19),(9/2+),32.5(25) ns,"89.3(4)
759.1(3)","(E2)
(M2)"
27,45,72Co*,X,(3+),0.18(10) s,,
29,43,72Cu,270.3 (1),(6),1.76(3) μs,51,E2
31,41,72Ga,16.44 (4 ),2,39.2(7) ns,16.4(3),(M1)
31,41,72Ga,119.66 (5),(0+),39.68(13) ms,103.14(17),(M2)
32,40,72Ge,691.43 (4),0+,444.2(8) ns,689.6(5),E0
33,39,72As,46.025 (18),1+,10.7(3) ns,45.89(4),E1
33,39,72As,213.563 (22),3+,85(5) ns,"166.77(5)
213.68(4)","E2
E1"
33,39,72As,309.741 (23),4,27(5) ns,"96.09(5)
309.77(3)","E1
E2"
33,39,72As,318.19 (4),4+,27(1) ns,"104.58(11)
318.39(25)",(M1)
33,39,72As,562.85 (8),7,87.9(17) ns,200.02(9),E2
34,38,72Se,937.22 (15),0+,17.5(17) ns,"75(2)
937",E0
35,37,72Br,101.3 (3),(3),10.6(3) s,101.3(3),(M2)
36,36,72Kr,671.0 (10),0+,26.3(21) ns,671,E0
30,43,73Zn,0+X ?,(9/2+),5.8(8) s,,
30,43,73Zn,195.5 (2),(5/2+),13.0(2) ms,195.5(2),
32,41,73Ge,13.2845 (15),5/2+,2.92(3) μs,13.2845(15),E2
32,41,73Ge,66.726 (9),1/2,0.499(11) s,53.440(9),M2
33,40,73As,427.906 (21),9/2+,5.7(2) μs,"360.86(2)
428.3(3)",M2+E3
34,39,73Se,25.71 (4),3/2,39.8(13) min,25.71(4),E3
35,38,73Br,240.50 (13),"(3/2
5/2)",35.0(14) ns,"62.4(1)
213.5(2)","M1
E2"
36,37,73Kr,433.66 (12),(9/2+),107(10) ns,"40.8
65.8",
31,43,74Ga,56.550 (9),(2),31(5) ns,56.559(10),
31,43,74Ga,59.571 (14),(0),9.5(10) s,3.2(2),
33,41,74As,259.187 (13),4+,26.8(5) ns,"76.13(1)
259.2(3)?",
35,39,74Br,13.58 (21),4(+),46(2) min,,
35,39,74Br,85.71 (21),(3),13.3(4) ns,72.1(1),
36,38,74Kr,509.25 (7),0+,14.2(10) ns,"53.23(14)
509.40(17)","E2
E0"
29,46,75Cu,61.7 (4),"(1/2
3/2)",310(8) ns,61.7(4),
29,46,75Cu,66.2 (4),"(1/2
3/2)",149(6) ns,66.2(4),
32,43,75Ge,192.19 (6),5/2+,216(5) ns,52.5(1),M1+E2
33,42,75As,303.9243 (8),9/2+,17.62(23) ms,"24.38
303.9236(10)","M2(+E3)
E3"
34,41,75Se,293.106 (3),1/2,30.0(4) ns,6.5(1),
35,40,75Br,220.80 (7),(9/2)+,31.7(3) ns,88.29(6),E2
28,48,76Ni,2418.7 (10),(8+),480(72) ns,142.7(5),E2
29,47,76Cu,0+X,"(1,2)",1.27(30) s,,
33,43,76As,44.425 (1),(1)+,1.84(6) μs,44.425(1),(E1)
35,41,76Br,102.2 (6),4+,1.31(2) s,"57.11(2)
102.6?",M2
37,39,76Rb,316.93 (8),4(+),3.20(10) μs,"70.55(5)
317.0(3)?",
30,47,77Zn,772.440 (15),(1/2),1.05(10) s,772.43(2),
32,45,77Ge,159.71 (6),1/2,53.7 (6) s,159.66(10),(E3)
33,44,77As,475.48 (4),9/2+,114.0(25) μs,"211.03(4)
475.46(10)",(M2+E3)
34,43,77Se,161.9223 (10),7/2+,17.36(5) s,161.9224(11),E3
35,42,77Br,105.86 (8),9/2+,4.28(10) min,105.87(10),E3
36,41,77Kr,66.50 (5),3/2,118(12) ns,66.52(5),(E1)
30,48,78Zn,2675.3 (10),(8+),0.320(+98) μs,144.7(5),(E2)
31,47,78Ga,498.9 (5),,110(3) ns,498.9,
35,43,78Br,32.32 (8),(2),11.3(30) ns,32.3(1),
35,43,78Br,180.89 (13),(4+),119.4(10) μs,148.55(10),
35,43,78Br,227.67 (18),(5+),84(8) ns,46.8(2),(M1+E2)
35,43,78Br,242.82 (17),"(2, 3)",17(2) ns,"46.3(5)
242.85(2)",
