"AX","M","Z","E","J","Thalf","Eγ.keV.","λ","TF","Key"
"107IN",107,49,678.5,"1/2","50.4(6) s","678.5(3)","M4",TRUE,"678.5;1/2;50.4(6) s"
"108ZR",108,40,2074.5,"(6+)","0.536(+2625) μs","277.9(5)
432.3(5)",NA,TRUE,"2074.5;(6+);0.536(+2625) μs"
"108NB",108,41,166.6,NA,"0.109(2) μs","89.0(5)
102.2(5)","E2",TRUE,"166.6;NA;0.109(2) μs"
"108RH",108,45,115,"(5+)","6.0(3) min",NA,NA,TRUE,"115;(5+);6.0(3) min"
"108AG",108,47,109.466,"6+","438(9) y","30.332(8)","M4",TRUE,"109.466;6+;438(9) y"
"108AG",108,47,215.382,"3+","45.8(7) ns","136.241(6)
215.381(7)","E1
E2",TRUE,"215.382;3+;45.8(7) ns"
"108IN",108,49,29.75,"2+","39.6(7) min",NA,NA,TRUE,"29.75;2+;39.6(7) min"
"109NB",109,41,312.5,NA,"0.114(+87) μs","196.2(5)
312.2(5)",NA,TRUE,"312.5;NA;0.114(+87) μs"
"109MO",109,42,69.7,"(1/2+)","0.194(+7649) μs","69.7(5)","E2",TRUE,"69.7;(1/2+);0.194(+7649) μs"
"109RU",109,44,96.2,"(5/2)","0.68(3) μs","96.2(3)","(E1)",TRUE,"96.2;(5/2);0.68(3) μs"
"109RH",109,45,225.974,"(3/2)+","1.66(4) μs","225.98(3)","E2",TRUE,"225.974;(3/2)+;1.66(4) μs"
"109RH",109,45,257.77,"(1/2)+","28.7(15) ns","31.80(3)","M1+E2",TRUE,"257.77;(1/2)+;28.7(15) ns"
"109RH",109,45,374.09,"1/2","33(2) ns","116.32(3)
148.12(3)",NA,TRUE,"374.09;1/2;33(2) ns"
"109PD",109,46,113.4,"1/2+","380(50) ns","113.401(2)","E2",TRUE,"113.4;1/2+;380(50) ns"
"109PD",109,46,188.99,"11/2","4.696(3) min","188.990(1)","E3",TRUE,"188.99;11/2;4.696(3) min"
"109AG",109,47,88.0341,"7/2+","39.6(2) s","88.0336(1)","E3",TRUE,"88.0341;7/2+;39.6(2) s"
"109CD",109,48,59.49,"1/2+","12(2) μs","59.9(5)","E2",TRUE,"59.49;1/2+;12(2) μs"
"109CD",109,48,463.5,"11/2","10.9(5) μs","259.1(5)","M2",TRUE,"463.5;11/2;10.9(5) μs"
"109IN",109,49,650.1,"1/2","1.34(7) min","649.90(15)","M4",TRUE,"650.1;1/2;1.34(7) min"
"109IN",109,49,2101.8,"19/2+","0.209(6) s","673.5(1)","M3",TRUE,"2101.8;19/2+;0.209(6) s"
"110AG",110,47,1.112,"2","660(40) ns","1.112(16)","E1",TRUE,"1.112;2;660(40) ns"
"110AG",110,47,117.59,"6+","249.83(4) d","116.48(5)","M4",TRUE,"117.59;6+;249.83(4) d"
"110AG",110,47,118.719,"3+","36.6(6) ns","117.607(17)
118.716(17)","E1(+M2)",TRUE,"118.719;3+;36.6(6) ns"
"110IN",110,49,62.08,"2+","69.1(5) min",NA,NA,TRUE,"62.08;2+;69.1(5) min"
"110SB",110,51,1152.9,"(8)","24(1) ns","812","(M2)",TRUE,"1152.9;(8);24(1) ns"
"111RU",111,44,253.97,"7/2","14 ns","103.8(2)
254.0(2)","E1",TRUE,"253.97;7/2;14 ns"
"111RH",111,45,394.95,"(3/2+)","87(8) ns","91.3(3)
395.0(3)","M1, E2",TRUE,"394.95;(3/2+);87(8) ns"
"111PD",111,46,172.18,"11/2","5.573(30) h","172.18(8)","E3",TRUE,"172.18;11/2;5.573(30) h"
"111AG",111,47,59.82,"7/2+","64.8(8) s","59.78(4)","E3",TRUE,"59.82;7/2+;64.8(8) s"
"111AG",111,47,376.71,"3/2+","16(1) ns","87.0
316.90(9)
376.71(6)","(E1)
(E2)
(E1)",TRUE,"376.71;3/2+;16(1) ns"
"111CD",111,48,245.39,"5/2+","84.5(4) ns","245.395(20)","E2",TRUE,"245.39;5/2+;84.5(4) ns"
"111CD",111,48,396.214,"11/2","48.50(9) min","150.824(13)","E3",TRUE,"396.214;11/2;48.50(9) min"
"111IN",111,49,536.99,"1/2","7.7(2) min","537.22(9)","M4",TRUE,"536.99;1/2;7.7(2) min"
"111IN",111,49,2716.79,"21/2+","13.7(4) ns","255.3(2)","E2",TRUE,"2716.79;21/2+;13.7(4) ns"
"111SN",111,50,254.71,"1/2+","12.5(10) μs","100.24(3)","E2",TRUE,"254.71;1/2+;12.5(10) μs"
"111SN",111,50,978.6,"11/2","10.0(5) ns","978.6(3)","M2",TRUE,"978.6;11/2;10.0(5) ns"
"111TE",111,52,839.4,"11/2","32.2(14) ns","723","M2",TRUE,"839.4;11/2;32.2(14) ns"
"112TC",112,43,350,"(5+)","150 (17) ns","92(1)",NA,TRUE,"350;(5+);150 (17) ns"
"112IN",112,49,156.592,"4+","20.67(8) min","156.61(3)","M3",TRUE,"156.592;4+;20.67(8) min"
"112IN",112,49,350.8,"(7)+","0.69(5) μs","187.93(3)","E2",TRUE,"350.8;(7)+;0.69(5) μs"
"112IN",112,49,613.82,"(8)","2.81(3) μs","263.01(3)","E1+M2",TRUE,"613.82;(8);2.81(3) μs"
"112SN",112,50,2549.22,"6+","13.73(8) ns","301.84(13)","E2",TRUE,"2549.22;6+;13.73(8) ns"
"112SB",112,51,825.9,"(8)","536 (22) ns","456.4(3)","M2(+E3)",TRUE,"825.9;(8);536 (22) ns"
"113TC",113,43,114.4,"(5/2)","0.526(+1615) μs","114.4(5)",NA,TRUE,"114.4;(5/2);0.526(+1615) μs"
"113PD",113,46,81.1,"(9/2)","0.3(1) s","81.1(1)","M2",TRUE,"81.1;(9/2);0.3(1) s"
"113AG",113,47,43.5,"7/2+","68.7(16) s","43.6(2)","E3",TRUE,"43.5;7/2+;68.7(16) s"
"113AG",113,47,222.08,"3/2+","23(2) ns","222.06(20)","E1",TRUE,"222.08;3/2+;23(2) ns"
"113AG",113,47,273.59,"(1/2)","~ 30 ns","51.5(2)
273.6(2)",NA,TRUE,"273.59;(1/2);~ 30 ns"
"113CD",113,48,263.54,"11/2","13.89(16) y","263.7(3)","E5",TRUE,"263.54;11/2;13.89(16) y"
"113CD",113,48,316.206,"5/2+","10.8(3) ns","17.78(9)
316.21(2)","M1
E2",TRUE,"316.206;5/2+;10.8(3) ns"
"113IN",113,49,391.699,"1/2","99.476(23) min","391.698(3)","M4",TRUE,"391.699;1/2;99.476(23) min"
"113SN",113,50,77.389,"7/2+","21.4(4) min","77.38(2)","M3+E4",TRUE,"77.389;7/2+;21.4(4) min"
"113SN",113,50,738.4,"11/2","86(2) ns","661.0(3)","M2(+E3)",TRUE,"738.4;11/2;86(2) ns"
"114AG",114,47,199,"(≤ 6+)","1.50(5) ms",NA,NA,TRUE,"199;(≤ 6+);1.50(5) ms"
"114IN",114,49,190.2682,"5+","49.51(1) d","190.2684(8)","E4",TRUE,"190.2682;5+;49.51(1) d"
"114IN",114,49,501.948,"8","43.1(6) ms","311.665(6)","E3",TRUE,"501.948;8;43.1(6) ms"
"114SN",114,50,3087.37,"7","733(14) ns","272.3(1)","E2",TRUE,"3087.37;7;733(14) ns"
"114SB",114,51,45.86,"(2+),
4+","26(3) ns","45.87(3)","M1,(E2)",TRUE,"45.86;(2+),
4+;26(3) ns"
"114SB",114,51,54.64,"3+","20.4(9) ns","54.65(3)","M1,(E2)",TRUE,"54.64;3+;20.4(9) ns"
"114SB",114,51,495.5,"(8)","219(12) μs","321.6","M2+E3",TRUE,"495.5;(8);219(12) μs"
"114I",114,53,265.9,"(7)","6.2(5) s","134.47(16)","M3",TRUE,"265.9;(7);6.2(5) s"
"115PD",115,46,89.21,"(7/2)","50(3) s","89.3(2)","E3",TRUE,"89.21;(7/2);50(3) s"
"115AG",115,47,41.16,"7/2+","18.0(7) s","41.1(2)","E3",TRUE,"41.16;7/2+;18.0(7) s"
"115CD",115,48,181,"11/2","44.56(24) d",NA,NA,TRUE,"181;11/2;44.56(24) d"
"115IN",115,49,336.244,"1/2","4.486(4) h","336.241(25)","M4",TRUE,"336.244;1/2;4.486(4) h"
"115SN",115,50,612.81,"7/2+","3.26(8) μs","115.46(4)","E2",TRUE,"612.81;7/2+;3.26(8) μs"
"115SN",115,50,713.64,"11/2","159(1) μs","100.70(21)","M2",TRUE,"713.64;11/2;159(1) μs"
"115SB",115,51,2796.26,"(19/2)","159(3) ns","157.84(6)
279.36(9)","E2
E2",TRUE,"2796.26;(19/2);159(3) ns"
"115TE",115,52,280.05,"11/2","7.5(2) μs","280.1(2)","M2",TRUE,"280.05;11/2;7.5(2) μs"
"116AG",116,47,47.9,"(3+)","20(1) s","47.9(1)","E3",TRUE,"47.9;(3+);20(1) s"
"116AG",116,47,129.8,"(6)","9.3(3) s","81.9(2)","E3",TRUE,"129.8;(6);9.3(3) s"
"116IN",116,49,127.267,"5+","54.29(17) min",NA,NA,TRUE,"127.267;5+;54.29(17) min"
"116IN",116,49,289.66,"8","2.18(4) s","162.393(7)","E3",TRUE,"289.66;8;2.18(4) s"
"116SN",116,50,2365.975,"5","348(19) ns","99.802(11)
1072.37(3)","E2
E3",TRUE,"2365.975;5;348(19) ns"
"116SB",116,51,93.99,"1+","194(4) ns","93.88(3)","E2",TRUE,"93.99;1+;194(4) ns"
"116SB",116,51,383,"8","60.3(6) min",NA,NA,TRUE,"383;8;60.3(6) min"
"116SB",116,51,1158.79,"7+","10.6(7) ns","349.7(3)
775.8(2)","E1+M2
E1",TRUE,"1158.79;7+;10.6(7) ns"
"116I",116,53,430.4,"(7)","3.27 μs","44.3(3)",NA,TRUE,"430.4;(7);3.27 μs"
"117RU",117,44,185,NA,"2.487(+5855) μs","82.5(5)?
127.4(5)
184.6(5)","E1
E2",TRUE,"185;NA;2.487(+5855) μs"
"117RH",117,45,321.2,"(3/2+)","138(17) ns","321.2(10)",NA,TRUE,"321.2;(3/2+);138(17) ns"
"117PD",117,46,203.3,"(9/2,
11/2)","19.1(7) ms","71.5(3)
168.6(3)","M2
M2",TRUE,"203.3;(9/2,
11/2);19.1(7) ms"
"117AG",117,47,28.6,"(7/2+)","5.34(5) s","28.6(2)","E3",TRUE,"28.6;(7/2+);5.34(5) s"
"117CD",117,48,136.4,"11/2","3.36(5) h",NA,NA,TRUE,"136.4;11/2;3.36(5) h"
"117IN",117,49,315.303,"1/2","116.2(3) min","315.302(13)","M4",TRUE,"315.303;1/2;116.2(3) min"
"117IN",117,49,659.765,"3/2+","53.6(7) ns","71.12(2)
344.459(10)","E1
E1",TRUE,"659.765;3/2+;53.6(7) ns"
"117SN",117,50,314.58,"11/2","14.00(5) d","156.02(3)
314.3(3)","M4",TRUE,"314.58;11/2;14.00(5) d"
"117SN",117,50,2406.4,"(19/2+)","1.75(7) μs","781.0(3)
813.4(3)","(E3)
(M2)",TRUE,"2406.4;(19/2+);1.75(7) μs"
"117SB",117,51,3130.76,"(25/2)+","355(17) μs","58.1(1)","M2",TRUE,"3130.76;(25/2)+;355(17) μs"
"117SB",117,51,3230.7,"(23/2)","290(5) ns","16.4(2)
99.6(2)","(E2)",TRUE,"3230.7;(23/2);290(5) ns"
"117TE",117,52,274.4,"5/2+","19.9(4) ns","274.4(1)","E2",TRUE,"274.4;5/2+;19.9(4) ns"
"117TE",117,52,296.1,"(11/2)","103(3) ms",NA,"(M2)",TRUE,"296.1;(11/2);103(3) ms"
"117I",117,53,353.59,"(9/2)+","12.1(7) ns","294.7(1)
353.6(2)","M1+(E2)",TRUE,"353.59;(9/2)+;12.1(7) ns"
"117I",117,53,5063.8,"(35/2+)","50 ns","380.5(6)
777.2(6)","M1, E2
E2",TRUE,"5063.8;(35/2+);50 ns"
"117XE",117,54,205.52,"(7/2)","17(8) ns","205.6(2)","E1",TRUE,"205.52;(7/2);17(8) ns"
"117XE",117,54,229.78,"(11/2)","59(20) ns","24",NA,TRUE,"229.78;(11/2);59(20) ns"
"118AG",118,47,45.79,"0() to","~ 0.1 μs","45.8(1)","M1",TRUE,"45.79;0() to;~ 0.1 μs"
"118AG",118,47,279.37,"(2+,
3+)","~ 0.1 μs","151.6(2)",NA,TRUE,"279.37;(2+,
3+);~ 0.1 μs"
"118SN",118,50,2321.23,"5","21.7(2) ns","40.8(1)
1091.51(8)","E1
E3",TRUE,"2321.23;5;21.7(2) ns"
"118SN",118,50,2574.91,"7","230(10) ns","253.678(10)","E2",TRUE,"2574.91;7;230(10) ns"
"118SN",118,50,3108.06,"10+","2.52(6) μs","55.9(2)","E2",TRUE,"3108.06;10+;2.52(6) μs"
"118SB",118,51,50.814,"(3)+","20.6(6) μs","50.82(5)","E2",TRUE,"50.814;(3)+;20.6(6) μs"
"118SB",118,51,250,"8","5.00(2) h",NA,NA,TRUE,"250;8;5.00(2) h"
"118SB",118,51,269.82,"(3)","13.3(2) ns","103.65(2)
187.85(7)
238.56(2)","E1
E1",TRUE,"269.82;(3);13.3(2) ns"
"118SB",118,51,964.88,"7+","22.6(3) ns","396.65(4)
714.9(1)","E1+M2",TRUE,"964.88;7+;22.6(3) ns"
"118I",118,53,188.8,"(7)","8.5(5) min","104(2)",NA,TRUE,"188.8;(7);8.5(5) min"
"119RU",119,44,227.1,NA,"0.383(+2221) μs","90.8(5)?","E2",TRUE,"227.1;NA;0.383(+2221) μs"
"119CD",119,48,146.54,"11/2()","2.20(2) min",NA,NA,TRUE,"146.54;11/2();2.20(2) min"
"119CD",119,48,228.27,"(7/2
9/2)","43(3) ns","14.3
81.7(1)","E2",TRUE,"228.27;(7/2
9/2);43(3) ns"
"119IN",119,49,311.37,"1/2","18.0(3) min","311.39(3)","M4",TRUE,"311.37;1/2;18.0(3) min"
"119IN",119,49,654.27,"(3/2)+","130(15) ns","50.2(1)
343.0(1)","E1",TRUE,"654.27;(3/2)+;130(15) ns"
"119IN",119,49,2656.9,"(25/2+)","240(25) ns","152","(E2)",TRUE,"2656.9;(25/2+);240(25) ns"
"119SN",119,50,23.871,"3/2+","18.03(7) ns","23.870(8)","M1+E2",TRUE,"23.871;3/2+;18.03(7) ns"
"119SN",119,50,89.531,"11/2","293.1(7) d","65.66(1)","M4",TRUE,"89.531;11/2;293.1(7) d"
"119SN",119,50,2127,"(19/2+)","9.6(12) μs","748(1)
818(1)",NA,TRUE,"2127;(19/2+);9.6(12) μs"
"119SN",119,50,3103.3,"27/2","34(10) ns","175(1)",NA,TRUE,"3103.3;27/2;34(10) ns"
"119SB",119,51,2553.6,"(19/2","130(3) ns","134
240","(E1+M2)
(E2)",TRUE,"2553.6;(19/2;130(3) ns"
"119TE",119,52,260.96,"11/2","4.70(4) d",NA,NA,TRUE,"260.96;11/2;4.70(4) d"
"119I",119,53,306.66,"9/2+","34.6(5) ns","207.8(2)
306.9(2)","M1+E2
E2",TRUE,"306.66;9/2+;34.6(5) ns"
"119XE",119,54,176.08,"(7/2)","20(4) ns","176.05(5)","E1",TRUE,"176.08;(7/2);20(4) ns"
"119XE",119,54,245.99,"(1/2+)","70 ns","76.4(2)
246.2(2)","E2
E2",TRUE,"245.99;(1/2+);70 ns"
"120RH",120,45,157.2,NA,"0.294(+1615) μs","59.1(5)?","(E2)",TRUE,"157.2;NA;0.294(+1615) μs"
"120SN",120,50,2481.63,"7","11.8(5) μs","197.37(2)","E2",TRUE,"2481.63;7;11.8(5) μs"
"120SN",120,50,2902.22,"10+","6.26(11) μs","65.7(2)","(E2)",TRUE,"2902.22;10+;6.26(11) μs"
"120SN",120,50,4891.1,"15","30(3) ns","241.7(1)",NA,TRUE,"4891.1;15;30(3) ns"
"120SB",120,51,78.16,"3+","246(2) ns","69.78(4)","E1",TRUE,"78.16;3+;246(2) ns"
"120I",120,53,25.07,"1+","13.6(7) ns","25.1(2)","E1",TRUE,"25.07;1+;13.6(7) ns"
"120I",120,53,72.3,"3+","244(5) ns","13.5(3)
72.3(3)","E1",TRUE,"72.3;3+;244(5) ns"
"120I",120,53,72,"(7","53(4) min",NA,NA,TRUE,"72;(7;53(4) min"
"121PD",121,46,135.5,NA,"0.460(+8592) μs","135.5(5)","E2",TRUE,"135.5;NA;0.460(+8592) μs"
"121CD",121,48,214.86,"11/2()","8.3(8) s",NA,NA,TRUE,"214.86;11/2();8.3(8) s"
"121CD",121,48,314.5,"(5/2+,
7/2+)","19(2) ns","314.55(10)","(E2)",TRUE,"314.5;(5/2+,
7/2+);19(2) ns"
"121IN",121,49,313.68,"1/2","3.88(10) min","313.60(9)","M4",TRUE,"313.68;1/2;3.88(10) min"
"121IN",121,49,2448,"(21/2−)","17(2)μs #","214?",NA,TRUE,"2448;(21/2−);17(2)μs #"
"121SN",121,50,6.31,"11/2","43.9(5) y","6.29(8)",NA,TRUE,"6.31;11/2;43.9(5) y"
"121SN",121,50,1998.3,"19/2+","5.3(5) μs","752
841",NA,TRUE,"1998.3;19/2+;5.3(5) μs"
"121SN",121,50,2221.1,"(23/2+)","0.5(1) μs","222.8(3)","E2",TRUE,"2221.1;(23/2+);0.5(1) μs"
"121SN",121,50,2832.7,"27/2","0.167(25) μs","175.4(2)",NA,TRUE,"2832.7;27/2;0.167(25) μs"
"121TE",121,52,293.974,"11/2","164.2(8) d","81.788(18)","M4",TRUE,"293.974;11/2;164.2(8) d"
"121TE",121,52,443.11,"7/2+","85.3(5) ns","230.95(5)","E2",TRUE,"443.11;7/2+;85.3(5) ns"
"121I",121,53,2353,"(21/2)","80(12) ns","134.8(1)",NA,TRUE,"2353;(21/2);80(12) ns"
"121I",121,53,2376.9,NA,"9.0(14) μs","158.7(3)",NA,TRUE,"2376.9;NA;9.0(14) μs"
"121XE",121,54,153.99,"(1/2+)","80(15) ns","153.9(2)","E2",TRUE,"153.99;(1/2+);80(15) ns"
"121CS",121,55,68.5,"9/2(+)","122(3) s","68.5(3)","M3",TRUE,"68.5;9/2(+);122(3) s"
"122RH",122,45,271,NA,"0.82(+1311) μs","63.9(5)?","(E2)",TRUE,"271;NA;0.82(+1311) μs"
"122SN",122,50,2409.03,"7","7.5(9) μs","163.22(3)","E2",TRUE,"2409.03;7;7.5(9) μs"
"122SN",122,50,2765.3,"10+","62(3) μs","75.2(5)","E2",TRUE,"2765.3;10+;62(3) μs"
"122SN",122,50,4478.7,"13","40(3) ns","70.2(5)
264.5(2)
609.6(1)
1712.8(5)","(E2)
(E1)",TRUE,"4478.7;13;40(3) ns"
"122SN",122,50,4721.2,"15","134(12) ns","242.5(1)","(E2)",TRUE,"4721.2;15;134(12) ns"
"122SB",122,51,61.4131,"3+","1.86(8) μs","61.4127(5)","E1",TRUE,"61.4131;3+;1.86(8) μs"
"122SB",122,51,137.4726,"(5)+","0.53(3) ms","76.0595(7)","E2",TRUE,"137.4726;(5)+;0.53(3) ms"
"122SB",122,51,163.5591,"(8)","4.191(3) min","26.0867(24)","(E3)",TRUE,"163.5591;(8);4.191(3) min"
"122I",122,53,155.7,"(4+)","16(1) ns","46.0(3)
94.4(3)","E2",TRUE,"155.7;(4+);16(1) ns"
"122I",122,53,315,"(7)","190(10) ns","159.3(3)","E3",TRUE,"315;(7);190(10) ns"
"122I",122,53,379.5,"(7","80(3) μs","64.5(3)","M1+E2",TRUE,"379.5;(7;80(3) μs"
"122I",122,53,393.9,"(8+)","81(3) μs","51.0(3)",NA,TRUE,"393.9;(8+);81(3) μs"
"122I",122,53,444.2,"(8-)","148(5) ns","64.7(3)",NA,TRUE,"444.2;(8-);148(5) ns"
"122CS",122,55,45.87,"(3)+","> 1 μs","45.85(15)","E2",TRUE,"45.87;(3)+;> 1 μs"
"122CS",122,55,127.07,"(5)","0.36(2) s","81.20(10)","M2",TRUE,"127.07;(5);0.36(2) s"
"122CS",122,55,135,"8()","3.70(11) min",NA,NA,TRUE,"135;8();3.70(11) min"
"123CD",123,48,263.867,"(5/2+,
7/2+)","80(15) ns","263.87(2)",NA,TRUE,"263.867;(5/2+,
7/2+);80(15) ns"
"123CD",123,48,144,"11/2()","1.82(3) s",NA,NA,TRUE,"144;11/2();1.82(3) s"
"123IN",123,49,327.21,"(1/2)","47.4(4) s",NA,NA,TRUE,"327.21;(1/2);47.4(4) s"
"123IN",123,49,2078.1,"(17/2)","1.4(2) μs","31.5(5)","(E2)",TRUE,"2078.1;(17/2);1.4(2) μs"
"123SN",123,50,24.6,"3/2+","40.06(1) min",NA,NA,TRUE,"24.6;3/2+;40.06(1) min"
"123SN",123,50,1945,"19/2+","7.4(26) μs","19
728",NA,TRUE,"1945;19/2+;7.4(26) μs"
"123SN",123,50,2153,"23/2+","6 μs","208",NA,TRUE,"2153;23/2+;6 μs"
"123SN",123,50,2713,"27/2","34 μs","170
560",NA,TRUE,"2713;27/2;34 μs"
"123SB",123,51,2037.5,"15/2","37.3(8) ns","381.6
949
1007.3","E2+M3
M2
E3",TRUE,"2037.5;15/2;37.3(8) ns"
"123SB",123,51,2237.8,"(19/2)","214(3) ns","200.4","E2",TRUE,"2237.8;(19/2);214(3) ns"
"123SB",123,51,2613.4,"23/2+","65(1) μs","127.4
375.7","E2(+M3)
M2",TRUE,"2613.4;23/2+;65(1) μs"
"123TE",123,52,247.47,"11/2","119.2(1) d","88.46(3)
247.5(2)","M4",TRUE,"247.47;11/2;119.2(1) d"
"123TE",123,52,489.81,"(7/2+)","30.7(4) ns","330.78(6)",NA,TRUE,"489.81;(7/2+);30.7(4) ns"
"123I",123,53,2659.9,"(21/2+)","27.2(15) ns","298.12(10)","(M1, E2)",TRUE,"2659.9;(21/2+);27.2(15) ns"
"123XE",123,54,185.18,"7/2()","5.49(26) μs","4.6?","(E1)",TRUE,"185.18;7/2();5.49(26) μs"
"123XE",123,54,206.24,"(9/2)","11.8(14) ns","21.1(2)",NA,TRUE,"206.24;(9/2);11.8(14) ns"
"123CS",123,55,156.27,"11/2","1.64(12) s","61.70(5)","E3",TRUE,"156.27;11/2;1.64(12) s"
"123BA",123,56,92.5,"(7/2)","~ 40 ns","92.5(1)",NA,TRUE,"92.5;(7/2);~ 40 ns"
"123BA",123,56,120.95,"(1/2+)","0.83(6) μs","120.9(1)","(E2)",TRUE,"120.95;(1/2+);0.83(6) μs"
"124AG",124,47,231.1,"(1)","1.46(20) μs","75.5(5)?","(E1)",TRUE,"231.1;(1);1.46(20) μs"
"124SN",124,50,2204.62,"5","0.27(6) μs","102.91(2)
1072.88(2)","E1",TRUE,"2204.62;5;0.27(6) μs"
"124SN",124,50,2325.01,"7","3.1(5) μs","120.38(3)","E2",TRUE,"2325.01;7;3.1(5) μs"
"124SN",124,50,2656.6,"10+","45(5) μs","78.2(5)","E2",TRUE,"2656.6;10+;45(5) μs"
"124SN",124,50,4551.4,"15","260(25) ns","228.5(4)","(E2)",TRUE,"4551.4;15;260(25) ns"
"124SB",124,51,10.8627,"5+","93(5) s","10.8630(11)",NA,TRUE,"10.8627;5+;93(5) s"
"124SB",124,51,36.844,"(8)","20.2(2) min","25.981(3)","E3",TRUE,"36.844;(8);20.2(2) min"
"124SB",124,51,40.8038,"3+,4+","3.2(3) μs","29.940(1)
40.8041(10)","E2
E1",TRUE,"40.8038;3+,4+;3.2(3) μs"
"124SB",124,51,125.2291,"(6)","86(2) ns","37.629(3)
88.3852(6)
114.3679(13)","E2
E2",TRUE,"125.2291;(6);86(2) ns"
"124I",124,53,55.2,"3+","62(3) ns","55.2(3)","E1",TRUE,"55.2;3+;62(3) ns"
"124I",124,53,122.8,"4","10(2) ns","122.8(3)","E2",TRUE,"122.8;4;10(2) ns"
"124I",124,53,249.8,"(5+)","14(2) ns","87.0(3)
194.6(3)",NA,TRUE,"249.8;(5+);14(2) ns"
"124I",124,53,286.8,"6","10(2) ns","12.0?
164.0(3)","E2",TRUE,"286.8;6;10(2) ns"
"124I",124,53,689.1,"(8-)","14(2) ns","130.4(3)
132.6(3)
235.7(3)
378.3(3)","M1+E2
M1+E2
M1+E2
M1+E2",TRUE,"689.1;(8-);14(2) ns"
"124CS",124,55,301.14,"(4)","69(3) ns","30.8?
58.20(8)
89.50(8)","E1
E1",TRUE,"301.14;(4);69(3) ns"
"124CS",124,55,462.63,"(7)+","6.41(7) s","64.90(5)
161.0","M2
(E3)",TRUE,"462.63;(7)+;6.41(7) s"
"125AG",125,47,1500.8,"(17/2)","474(35) ns","102.5(5)
787.0(5)","(E2)",TRUE,"1500.8;(17/2);474(35) ns"
"125CD",125,48,186,"11/2()","0.48(3) s",NA,NA,TRUE,"186;11/2();0.48(3) s"
"125IN",125,49,360.12,"1/2()","12.2(2) s",NA,NA,TRUE,"360.12;1/2();12.2(2) s"
"125IN",125,49,2009.4,"(19/2+)","9.4(6) μs","56.3","E2",TRUE,"2009.4;(19/2+);9.4(6) μs"
"125IN",125,49,2161.2,"(23/2)","5.0(15) ms","151.8","M2",TRUE,"2161.2;(23/2);5.0(15) ms"
"125SN",125,50,27.5,"3/2+","9.52(5) min",NA,NA,TRUE,"27.5;3/2+;9.52(5) min"
"125SN",125,50,1892.8,"(19/2+)","6.2(2) μs","~ 10
805.5(2)",NA,TRUE,"1892.8;(19/2+);6.2(2) μs"
"125SN",125,50,2059.5,"23/2+","0.6(2) μs","167.0(3)",NA,TRUE,"2059.5;23/2+;0.6(2) μs"
"125SN",125,50,2623.5,"27/2","0.23(2) μs","161.3(3)",NA,TRUE,"2623.5;27/2;0.23(2) μs"
"125SB",125,51,1971.25,"15/2","4.1(2) μs","881.8(3)
904.0(3)","E3(+M2)
E3",TRUE,"1971.25;15/2;4.1(2) μs"
"125SB",125,51,2112.1,"(19/2)","28.0(7) μs","140.9(3)","E2",TRUE,"2112.1;(19/2);28.0(7) μs"
"125SB",125,51,2325,"(19/2)+","31(2) ns","107.9(3)
131.59(17)
331.36(24)","E2
(E2)",TRUE,"2325;(19/2)+;31(2) ns"
"125SB",125,51,2471,"(23/2)+","272(16) ns","146.02(19)","E2",TRUE,"2471;(23/2)+;272(16) ns"
"125TE",125,52,144.775,"11/2","57.40(15) d","109.276(15)
144.780(25)?","M4",TRUE,"144.775;11/2;57.40(15) d"
"125XE",125,54,252.61,"9/2","57(1) s","140.5(2)","E3",TRUE,"252.61;9/2;57(1) s"
"125XE",125,54,295.89,"7/2(+)","0.14(3) μs","43.3(3)
183.8(2)","(E1)
(E2)",TRUE,"295.89;7/2(+);0.14(3) μs"
"125CS",125,55,84.82,"(5/2+)","14.5(15) ns","84.6(3)","E2",TRUE,"84.82;(5/2+);14.5(15) ns"
"125CS",125,55,266.1,"(11/2","0.90(3) ms","13?","(M2)",TRUE,"266.1;(11/2;0.90(3) ms"
"125LA",125,57,107,NA,"0.39(4) s","107.0(1)","E3",TRUE,"107;NA;0.39(4) s"
"125CE",125,58,92.1,"(1/2+)","131 (+64060) s @
4.4 s*",NA,"(E3)",TRUE,"92.1;(1/2+);131 (+64060) s @
4.4 s*"
"126PD",126,46,2023.5,"(5)","0.33(4) μs","542.4
1330.2",NA,TRUE,"2023.5;(5);0.33(4) μs"
"126PD",126,46,2109.7,"(7)","0.44(3) μs","86.2",NA,TRUE,"2109.7;(7);0.44(3) μs"
"126PD",126,46,2406.4,"(10+)","23.0(8) ms","296.7","(E3)",TRUE,"2406.4;(10+);23.0(8) ms"
"126AG",126,47,254.8,"(1)","27(6) μs","254.8(5)","(M2)",TRUE,"254.8;(1);27(6) μs"
"126IN",126,49,102,"(8)","1.64(5) s",NA,NA,TRUE,"102;(8);1.64(5) s"
"126IN",126,49,243.3,"1","22(2) μs","243.3(2)",NA,TRUE,"243.3;1;22(2) μs"
"126SN",126,50,2161.54,"5","10.8(7) ns","111.79(5)
1020.41(10)","E1",TRUE,"2161.54;5;10.8(7) ns"
"126SN",126,50,2218.99,"7","6.6(14) μs","57.47(5)","E2",TRUE,"2218.99;7;6.6(14) μs"
"126SN",126,50,2564.5,"10+","7.7(5) μs","76.3(5)",NA,TRUE,"2564.5;10+;7.7(5) μs"
