"q","Occ_after","Occ_equiv","fq","n","kappa","J_final","subshell","Capture_Config","Eres_eV","Vi_keV","GS","ICC","ICC_sum","Y_neec_SI","Ypdb","Ar","S_neec_beV","Spdb","Ratio","R_neec_p","sigma_b","shell","Gamma_neec_p"
34,9,23,0,3,2,0.5,"M5","3d5/2",3053.116656,1.796883344,FALSE,2277.94782608678,0,13.274152468,535.830176048466,0.287497167847221,2.1445021279e-08,8.66272923700467e-07,40.3950601134988,0,0.105017881269653,"M",1.3e-07
34,9,24,0,3,-3,3.5,"M5","3d5/2",3055.7393051,1.7942606949,FALSE,1735.7101449274,0,49.85347031,1633.12936648467,0.287497167847221,8.0471353932e-08,2.63799609088476e-06,32.7818032378817,0,0.394074269402315,"M",1.3e-07
34,9,25,0,3,-3,4.5,"M5","3d5/2",3056.2633804,1.7937366196,FALSE,1285.98260869555,0,62.170804932,1512.47600959398,0.287497167847221,1.0033620715e-07,2.4426843769974e-06,24.3449941589446,0,0.491353948892765,"M",1.3e-07
34,9,26,0,3,-3,0.5,"M5","3d5/2",3061.9173486,1.7880826514,FALSE,887.547826086889,0,12.194661848,208.773397905495,0.287497167847221,1.9644260906e-08,3.36549491592163e-07,17.132204321791,0,0.0961994223562085,"M",1.3e-07
34,9,27,0,3,-3,2.5,"M5","3d5/2",3074.4013141,1.7755986859,FALSE,541.321739130392,0,35.094794705,381.997146012839,0.287497167847221,5.6303563433e-08,6.13283831513556e-07,10.8924514563514,0,0.275722782586155,"M",1.3e-07
34,9,28,0,3,-3,1.5,"M5","3d5/2",3074.466741,1.775533259,FALSE,249.136231884038,0,23.260432005,117.206118122383,0.287497167847221,3.7316561844e-08,1.88166544409546e-07,5.04244054412534,0,0.182742008512831,"M",1.3e-07
33,10,10,0,2,-2,0,"L3","2p3/2",596.56308533,4.25343691467,TRUE,102672.321428572,0,1575.2803332,24151.0922402842,0.287497167847221,1.306050613e-05,0.00020030569653646,15.3367484033683,0,63.9582803037385,"L",1.3e-07
33,10,11,0,3,-1,2,"M1","3s",2972.9169045,1.8770830955,FALSE,644.7348,0,27.983035012,379.144286616568,0.287497167847221,4.6448545428e-08,6.29544875345456e-07,13.5535972019041,0,0.227462018593682,"M",1.3e-07
33,10,12,0,3,-1,1,"M1","3s",2977.0447917,1.8729552083,FALSE,311.418,0,16.255111837,109.879927793156,0.287497167847221,2.6938240301e-08,1.82194891228083e-07,6.76342957788966,0,0.131918587756968,"M",1.3e-07
33,10,13,0,3,1,1,"M2","3p1/2",3038.7961381,1.8112038619,FALSE,95219.999999981,0,1470.6128081,33597.1803956812,0.287497167847221,2.3879704045e-06,5.45730596208173e-05,22.8533232731768,0,11.694070579487,"M",1.3e-07
33,10,14,0,3,1,2,"M2","3p1/2",3040.1604539,1.8098395461,FALSE,46109.9999999907,0,2430.5716534,27115.5567465668,0.287497167847221,3.9438667347e-06,4.40249103345685e-05,11.1628798070727,0,19.3134118684061,"M",1.3e-07
33,10,15,0,3,-2,3,"M3","3p3/2",3065.502866,1.784497134,FALSE,162319.487179446,0,3076.0864747,133635.579526443,0.287497167847221,4.9511232001e-06,0.000215172169425387,43.4592638335159,0,24.2460224970116,"M",1.3e-07
33,10,16,0,3,-2,1,"M3","3p3/2",3065.6026302,1.7843973698,FALSE,115336.211538432,0,1318.3227893,40694.9328419651,0.287497167847221,2.1214047148e-06,6.55224544409678e-05,30.8863527943771,0,10.3886783587345,"M",1.3e-07
33,10,17,0,3,-2,2,"M3","3p3/2",3071.2752256,1.7787247744,FALSE,73254.7179486993,0,2158.059246,43078.3444262005,0.287497167847221,3.466113823e-06,6.92314688780123e-05,19.9738013271852,0,16.9738199461414,"M",1.3e-07
33,10,18,0,3,-2,0,"M3","3p3/2",3097.3010323,1.7526989677,FALSE,35056.3461538372,0,365.47082771,8246.12746442727,0.287497167847221,5.8208544263e-07,1.3140711469913e-05,22.5752278059731,0,2.85051616911995,"M",1.3e-07
