Z,Ebind,Occ,Element,subshell,CCp,Eic,Vi_q0,nmax,nh,shell_colours,multiplier
18,0.02762967,17,Argon,M3,2.51E-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",0.690741750000628
18,0.0157596119,18,Argon,M3,2.51E-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",0.393990297500358
19,4.9340484,1,Potassium,K,1.671E-05,1996.39,3.6099999999999,2,2,"rgb(123,104,238)",1.36677240997234
19,4.61087018,2,Potassium,K,1.671E-05,1996.39,3.6099999999999,2,1,"rgb(123,104,238)",0.638624678670378
19,1.034542,3,Potassium,L1,1.393E-06,1999.62,0.380000000000109,2,2,"rgb(25,25,112)",2.72247894736764
19,0.9677,4,Potassium,L1,1.393E-06,1999.62,0.380000000000109,2,1,"rgb(25,25,112)",1.27328947368384
19,0.86092,5,Potassium,L2,2.5E-09,1999.7,0.299999999999955,2,2,"rgb(0,0,139)",2.86973333333377
19,0.7863,6,Potassium,L2,2.5E-09,1999.7,0.299999999999955,2,1,"rgb(0,0,139)",1.3105000000002
19,0.7147,7,Potassium,L3,4.35E-09,1999.71,0.289999999999964,4,4,"rgb(0,0,205)",2.464482758621
19,0.6311,8,Potassium,L3,4.35E-09,1999.71,0.289999999999964,4,3,"rgb(0,0,205)",1.632155172414
19,0.5656,9,Potassium,L3,4.35E-09,1999.71,0.289999999999964,4,2,"rgb(0,0,205)",0.975172413793226
19,0.50367,10,Potassium,L3,4.35E-09,1999.71,0.289999999999964,4,1,"rgb(0,0,205)",0.434198275862123
19,0.1758174,11,Potassium,M1,1.512E-07,1999.97,0.029999999999973,2,2,"rgb(0,0,255)",5.86058000000533
19,0.15487,12,Potassium,M1,1.512E-07,1999.97,0.029999999999973,2,1,"rgb(0,0,255)",2.58116666666901
19,0.11756,13,Potassium,M2,2.32E-10,1999.98,0.019999999999982,2,2,"rgb(65,105,225)",5.87800000000535
19,0.09944,14,Potassium,M2,2.32E-10,1999.98,0.019999999999982,2,1,"rgb(65,105,225)",2.48600000000226
19,0.08266,15,Potassium,M3,4.03E-10,1999.98,0.019999999999982,4,4,"rgb(70,130,180)",4.13300000000376
19,0.060917,16,Potassium,M3,4.03E-10,1999.98,0.019999999999982,4,3,"rgb(70,130,180)",2.28438750000208
19,0.0458031,17,Potassium,M3,4.03E-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",1.14507750000104
19,0.031625,18,Potassium,M3,4.03E-10,1999.98,0.019999999999982,4,1,"rgb(70,130,180)",0.39531250000036
19,0.00434066373,19,Potassium,N1,5.6E-09,2000,0.00434066373,2,2,"rgb(0,128,128)",1
20,5.4698616,1,Calcium,K,1.94E-05,1995.96,4.03999999999996,2,2,"rgb(123,104,238)",1.35392613861387
20,5.1288578,2,Calcium,K,1.94E-05,1995.96,4.03999999999996,2,1,"rgb(123,104,238)",0.634759628712877
20,1.157726,3,Calcium,L1,1.651E-06,1999.56,0.440000000000055,2,2,"rgb(25,25,112)",2.63119545454513
