"Z","Species","CS","Occ","Element","Iso_elec","Ground_Shells","Ground_Config","Ground_Level","Ionized_Level","IE","IE_uncertainty","References"
14,"Si V",4,10,"Silicon","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.166767,3e-06,"L3934"
14,"Si VI",5,9,"Silicon","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.205279,5e-06,"c192"
14,"Si VII",6,8,"Silicon","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.24657,5e-05,"c193"
14,"Si VIII",7,7,"Silicon","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.30359,5e-05,"c193"
14,"Si IX",8,6,"Silicon","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.35128,6e-05,"c193"
14,"Si X",9,5,"Silicon","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.40138,4e-05,"L11770"
14,"Si XI",10,4,"Silicon","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.476273,1.9e-05,"c192"
14,"Si XII",11,3,"Silicon","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.523415,7e-06,"L16264c99"
14,"Si XIII",12,2,"Silicon","He","1s2","1s2","1S0","1s 2S1/2",2.43765815,2e-07,"L12128"
14,"Si XIV",13,1,"Silicon","H","1s","1s","2S1/2",NA,2.67317755,2.5e-07,"L7188"
15,"P I",0,15,"Phosphorus","P","Ne3s23p3","3s23p3","4S°3/2","3p2 3P0",0.010486686,1.5e-08,"L5148"
15,"P II",1,14,"Phosphorus","Si","Ne3s23p2","3s23p2","3P0","3p 2P°1/2",0.01976949,4e-08,"L11770"
15,"P III",2,13,"Phosphorus","Al","Ne3s23p","3s23p","2P°1/2","3s2 1S0",0.03020264,9e-08,"L7147"
15,"P IV",3,12,"Phosphorus","Mg","Ne3s2","2p63s2","1S0","3s 2S1/2",0.05144387,1.2e-07,"L7147"
15,"P V",4,11,"Phosphorus","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.06502511,1.2e-07,"L7147,L2613"
15,"P VI",5,10,"Phosphorus","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.22043,5e-06,"L11770"
15,"P VII",6,9,"Phosphorus","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.26357,6e-05,"L7147"
15,"P VIII",7,8,"Phosphorus","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.3096,1e-04,"L7147"
15,"P IX",8,7,"Phosphorus","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.37231,0.00021,"L11770"
15,"P X",9,6,"Phosphorus","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.4244,9e-05,"L11770"
15,"P XI",10,5,"Phosphorus","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.47944,5e-05,"L11770"
15,"P XII",11,4,"Phosphorus","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.56062,1e-04,"L11770"
15,"P XIII",12,3,"Phosphorus","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.611741,7e-06,"L16264c99"
15,"P XIV",13,2,"Phosphorus","He","1s2","1s2","1S0","1s 2S1/2",2.81690879,2e-07,"L12128"
15,"P XV",14,1,"Phosphorus","H","1s","1s","2S1/2",NA,3.0698416,4e-07,"L7188"
16,"S I",0,16,"Sulfur","S","Ne3s23p4","3s23p4","3P2","3p3 4S°3/2",0.01036001,1.2e-07,"L7237"
16,"S II",1,15,"Sulfur","P","Ne3s23p3","3s23p3","4S°3/2","3p2 3P0",0.02333788,2.5e-07,"L7237,L5883"
16,"S III",2,14,"Sulfur","Si","Ne3s23p2","3s23p2","3P0","3p 2P°1/2",0.03486,4e-05,"L11770"
16,"S IV",3,13,"Sulfur","Al","Ne3s23p","3s23p","2P°1/2","3s2 1S0",0.047222,1.2e-05,"L7237"
16,"S V",4,12,"Sulfur","Mg","Ne3s2","2p63s2","1S0","3s 2S1/2",0.0725945,4e-07,"L7237"
16,"S VI",5,11,"Sulfur","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.0880529,4e-07,"L7237,L4882"
16,"S VII",6,10,"Sulfur","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.280954,7e-06,"L9896"
16,"S VIII",7,9,"Sulfur","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.328794,7e-06,"L11242"
16,"S IX",8,8,"Sulfur","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.37984,0.00021,"L11770"
16,"S X",9,7,"Sulfur","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.4477,3e-04,"L11770"
16,"S XI",10,6,"Sulfur","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.50455,0.00012,"L11770"
16,"S XII",11,5,"Sulfur","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.56441,5e-05,"L11770"
