"At. Num. "," Sp.  Name. "," Ion  Charge "," El.  name "," Isoel.  Seq. "," Ground  Shells "," Ground  Config. "," Ground  Level "," Ionized  Level "," Ionization  Energy 
 (eV) ","Uncertainty
 (eV) "," References "
12,"Mg VII ",6,"Magnesium ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [225.02]                 ",0.06," L11770 "
12,"Mg VIII ",7,"Magnesium ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [265.924]                ",0.019," L11770 "
12,"Mg IX ",8,"Magnesium ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ","  [327.99]                 ",0.04," L11770 "
12,"Mg X ",9,"Magnesium ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  (367.489)                ",0.007," L16264c99 "
12,"Mg XI ",10,"Magnesium ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  (1 761.80488)              ",0.0002," L12128 "
12,"Mg XII ",11,"Magnesium ","H ","1s ","1s "," 2S1/2 "," ","  (1 962.66366)              ",0.00012," L7188 "
13,"Al I ",0,"Aluminum ","Al ","[Ne]3s23p ","3s23p "," 2P°1/2 ","3s2 1S0 ",5.985769,3E-06," L7215,L10321 "
13,"Al II ",1,"Aluminum ","Mg ","[Ne]3s2 ","2p63s2 "," 1S0 ","3s 2S1/2 ",18.82855,5E-05," L7215 "
13,"Al III ",2,"Aluminum ","Na ","[Ne]3s ","2p63s "," 2S1/2 ","2p6 1S0 ",28.447642,2.5E-05," L4714,L277 "
13,"Al IV ",3,"Aluminum ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ",119.9924,0.0019," L4714,L2829 "
13,"Al V ",4,"Aluminum ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ","  [153.8252]               ",0.0025," L4714,L3565 "
13,"Al VI ",5,"Aluminum ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ","  [190.49]                 ",0.05," L7215 "
13,"Al VII ",6,"Aluminum ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ","  [241.76]                 ",0.09," L7215 "
13,"Al VIII ",7,"Aluminum ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [284.64]                 ",0.07," L11770 "
13,"Al IX ",8,"Aluminum ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [330.21]                 ",0.04," L11770 "
13,"Al X ",9,"Aluminum ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ","  [398.65]                 ",0.06," L11770 "
13,"Al XI ",10,"Aluminum ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  (442.005)                ",0.007," L16264c99 "
13,"Al XII ",11,"Aluminum ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  (2 085.97702)              ",0.0002," L12128 "
13,"Al XIII ",12,"Aluminum ","H ","1s ","1s "," 2S1/2 "," ","  (2 304.14007)              ",0.00025," L7188 "
14,"Si I ",0,"Silicon ","Si ","[Ne]3s23p2 ","3s23p2 "," 3P0 ","3p 2P°1/2 ",8.15168,3E-05," L5815 "
14,"Si II ",1,"Silicon ","Al ","[Ne]3s23p ","3s23p "," 2P°1/2 ","3s2 1S0 ",16.34585,4E-05," L5815 "
14,"Si III ",2,"Silicon ","Mg ","[Ne]3s2 ","2p63s2 "," 1S0 ","3s 2S1/2 ",33.493,9E-05," L5815 "
14,"Si IV ",3,"Silicon ","Na ","[Ne]3s ","2p63s "," 2S1/2 ","2p6 1S0 ",45.14179,7E-05," L5815,L6098 "
14,"Si V ",4,"Silicon ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ",166.767,0.003," L3934 "
14,"Si VI ",5,"Silicon ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ","  [205.279]               ",0.005," c192 "
14,"Si VII ",6,"Silicon ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ","  [246.57]                ",0.05," c193 "
14,"Si VIII ",7,"Silicon ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ","  [303.59]                ",0.05," c193 "
14,"Si IX ",8,"Silicon ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [351.28]                ",0.06," c193 "
14,"Si X ",9,"Silicon ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [401.38]                ",0.04," L11770 "
14,"Si XI ",10,"Silicon ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ","  [476.273]               ",0.019," c192 "
14,"Si XII ",11,"Silicon ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  (523.415)               ",0.007," L16264c99 "
14,"Si XIII ",12,"Silicon ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  (2 437.65815)             ",0.0002," L12128 "
14,"Si XIV ",13,"Silicon ","H ","1s ","1s "," 2S1/2 "," ","  (2 673.17755)             ",0.00025," L7188 "
15,"P I ",0,"Phosphorus ","P ","[Ne]3s23p3 ","3s23p3 "," 4S°3/2 ","3p2 3P0 ",10.486686,1.5E-05," L5148 "
15,"P II ",1,"Phosphorus ","Si ","[Ne]3s23p2 ","3s23p2 "," 3P0 ","3p 2P°1/2 ","  [19.76949]              ",4E-05," L11770 "
15,"P III ",2,"Phosphorus ","Al ","[Ne]3s23p ","3s23p "," 2P°1/2 ","3s2 1S0 ",30.20264,9E-05," L7147 "
15,"P IV ",3,"Phosphorus ","Mg ","[Ne]3s2 ","2p63s2 "," 1S0 ","3s 2S1/2 ",51.44387,0.00012," L7147 "
15,"P V ",4,"Phosphorus ","Na ","[Ne]3s ","2p63s "," 2S1/2 ","2p6 1S0 ",65.02511,0.00012," L7147,L2613 "
15,"P VI ",5,"Phosphorus ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ","  [220.430]                ",0.005," L11770 "
15,"P VII ",6,"Phosphorus ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ","  [263.57]                 ",0.06," L7147 "
15,"P VIII ",7,"Phosphorus ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ","  [309.60]                 ",0.1," L7147 "
