"Z","ne_cm3","Te_eV","q","frac"
6,1e+14,10000,5,8.7909e-05
6,1e+14,10000,6,0.99991
6,1e+14,20000,0,1.3289e-39
6,1e+14,20000,1,3.5913e-30
6,1e+14,20000,2,6.3193e-23
6,1e+14,20000,3,1.1486e-16
6,1e+14,20000,4,3.016e-10
6,1e+14,20000,5,4.2467e-05
6,1e+14,20000,6,0.99996
6,1e+14,50000,0,2.03048e-42
6,1e+14,50000,1,1.58e-32
6,1e+14,50000,2,7.7967e-25
6,1e+14,50000,3,4.455e-18
6,1e+14,50000,4,3.5399e-11
6,1e+14,50000,5,1.4788e-05
6,1e+14,50000,6,0.99999
6,1e+14,1e+05,0,1.26117e-44
6,1e+14,1e+05,1,2.1079e-34
6,1e+14,1e+05,2,2.3823e-26
6,1e+14,1e+05,3,3.347e-19
6,1e+14,1e+05,4,6.3081e-12
6,1e+14,1e+05,5,6.279e-06
6,1e+14,1e+05,6,0.99999
